id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2,year
1136593,2018,Kolkata,2018-05-03,League,SP Narine,Eden Gardens,CSK,KKR,KKR,field,KKR,wickets,6.0,178.0,20.0,N,,A Deshmukh,HDPK Dharmasena,2018
1136594,2018,Indore,2018-05-04,League,SA Yadav,Holkar Cricket Stadium,PBKS,MI,MI,field,MI,wickets,6.0,175.0,20.0,N,,AY Dandekar,S Ravi,2018
1136595,2018,Pune,2018-05-05,League,RA Jadeja,Maharashtra Cricket Association Stadium,RCB,CSK,CSK,field,CSK,wickets,6.0,128.0,20.0,N,,Nitin Menon,YC Barde,2018
1136596,2018,Hyderabad,2018-05-05,League,Rashid Khan,Rajiv Gandhi International Stadium,DC,SRH,DC,bat,SRH,wickets,7.0,164.0,20.0,N,,BNJ Oxenford,CK Nandan,2018
1136597,2018,Mumbai,2018-05-06,League,HH Pandya,Wankhede Stadium,MI,KKR,KKR,field,MI,runs,13.0,182.0,20.0,N,,A Deshmukh,HDPK Dharmasena,2018
1136598,2018,Indore,2018-05-06,League,Mujeeb Ur Rahman,Holkar Cricket Stadium,RR,PBKS,PBKS,field,PBKS,wickets,6.0,153.0,20.0,N,,C Shamshuddin,S Ravi,2018
1136599,2018,Hyderabad,2018-05-07,League,KS Williamson,Rajiv Gandhi International Stadium,SRH,RCB,RCB,field,SRH,runs,5.0,147.0,20.0,N,,BNJ Oxenford,VK Sharma,2018
1136600,2018,Jaipur,2018-05-08,League,JC Buttler,Sawai Mansingh Stadium,RR,PBKS,RR,bat,RR,runs,15.0,159.0,20.0,N,,M Erasmus,Nitin Menon,2018
1136601,2018,Kolkata,2018-05-09,League,Ishan Kishan,Eden Gardens,MI,KKR,KKR,field,MI,runs,102.0,211.0,20.0,N,,KN Ananthapadmanabhan,AK Chaudhary,2018
1136602,2018,Delhi,2018-05-10,League,S Dhawan,Arun Jaitley Stadium,DC,SRH,DC,bat,SRH,wickets,9.0,188.0,20.0,N,,AY Dandekar,C Shamshuddin,2018
1136603,2018,Jaipur,2018-05-11,League,JC Buttler,Sawai Mansingh Stadium,CSK,RR,CSK,bat,RR,wickets,4.0,177.0,20.0,N,,M Erasmus,YC Barde,2018
1136604,2018,Indore,2018-05-12,League,SP Narine,Holkar Cricket Stadium,KKR,PBKS,PBKS,field,KKR,runs,31.0,246.0,20.0,N,,CK Nandan,VK Sharma,2018
1136605,2018,Delhi,2018-05-12,League,AB de Villiers,Arun Jaitley Stadium,DC,RCB,RCB,field,RCB,wickets,5.0,182.0,20.0,N,,KN Ananthapadmanabhan,HDPK Dharmasena,2018
1136606,2018,Pune,2018-05-13,League,AT Rayudu,Maharashtra Cricket Association Stadium,SRH,CSK,CSK,field,CSK,wickets,8.0,180.0,20.0,N,,M Erasmus,YC Barde,2018
1136607,2018,Mumbai,2018-05-13,League,JC Buttler,Wankhede Stadium,MI,RR,RR,field,RR,wickets,7.0,169.0,20.0,N,,Nitin Menon,S Ravi,2018
1136608,2018,Indore,2018-05-14,League,UT Yadav,Holkar Cricket Stadium,PBKS,RCB,RCB,field,RCB,wickets,10.0,89.0,20.0,N,,BNJ Oxenford,VK Sharma,2018
1136609,2018,Kolkata,2018-05-15,League,Kuldeep Yadav,Eden Gardens,RR,KKR,KKR,field,KKR,wickets,6.0,143.0,20.0,N,,AK Chaudhary,HDPK Dharmasena,2018
1136610,2018,Mumbai,2018-05-16,League,JJ Bumrah,Wankhede Stadium,MI,PBKS,PBKS,field,MI,runs,3.0,187.0,20.0,N,,M Erasmus,Nitin Menon,2018
1136611,2018,Bengaluru,2018-05-17,League,AB de Villiers,M Chinnaswamy Stadium,RCB,SRH,SRH,field,RCB,runs,14.0,219.0,20.0,N,,AY Dandekar,S Ravi,2018
1136612,2018,Delhi,2018-05-18,League,HV Patel,Arun Jaitley Stadium,DC,CSK,CSK,field,DC,runs,34.0,163.0,20.0,N,,HDPK Dharmasena,VA Kulkarni,2018
1136613,2018,Jaipur,2018-05-19,League,S Gopal,Sawai Mansingh Stadium,RR,RCB,RR,bat,RR,runs,30.0,165.0,20.0,N,,BNJ Oxenford,VK Sharma,2018
1136614,2018,Hyderabad,2018-05-19,League,CA Lynn,Rajiv Gandhi International Stadium,SRH,KKR,SRH,bat,KKR,wickets,5.0,173.0,20.0,N,,AK Chaudhary,S Ravi,2018
1136615,2018,Delhi,2018-05-20,League,A Mishra,Arun Jaitley Stadium,DC,MI,DC,bat,DC,runs,11.0,175.0,20.0,N,,HDPK Dharmasena,CK Nandan,2018
1136616,2018,Pune,2018-05-20,League,L Ngidi,Maharashtra Cricket Association Stadium,PBKS,CSK,CSK,field,CSK,wickets,5.0,154.0,20.0,N,,Nitin Menon,YC Barde,2018
1136617,2018,Mumbai,2018-05-22,Qualifier 1,F du Plessis,Wankhede Stadium,SRH,CSK,CSK,field,CSK,wickets,2.0,140.0,20.0,N,,C Shamshuddin,M Erasmus,2018
1136618,2018,Kolkata,2018-05-23,Eliminator,AD Russell,Eden Gardens,KKR,RR,RR,field,KKR,runs,25.0,170.0,20.0,N,,AK Chaudhary,Nitin Menon,2018
1136619,2018,Kolkata,2018-05-25,Qualifier 2,Rashid Khan,Eden Gardens,SRH,KKR,KKR,field,SRH,runs,14.0,175.0,20.0,N,,HDPK Dharmasena,Nitin Menon,2018
1136620,2018,Mumbai,2018-05-27,Final,SR Watson,Wankhede Stadium,SRH,CSK,CSK,field,CSK,wickets,8.0,179.0,20.0,N,,M Erasmus,S Ravi,2018
1175356,2019,Chennai,2019-03-23,League,Harbhajan Singh,MA Chidambaram Stadium,RCB,CSK,CSK,field,CSK,wickets,7.0,71.0,20.0,N,,AY Dandekar,BNJ Oxenford,2019
1175357,2019,Kolkata,2019-03-24,League,AD Russell,Eden Gardens,SRH,KKR,KKR,field,KKR,wickets,6.0,182.0,20.0,N,,AK Chaudhary,CB Gaffaney,2019
1175358,2019,Mumbai,2019-03-24,League,RR Pant,Wankhede Stadium,DC,MI,MI,field,DC,runs,37.0,214.0,20.0,N,,S Ravi,YC Barde,2019
1175359,2019,Jaipur,2019-03-25,League,CH Gayle,Sawai Mansingh Stadium,PBKS,RR,RR,field,PBKS,runs,14.0,185.0,20.0,N,,C Shamshuddin,KN Ananthapadmanabhan,2019
1175360,2019,Delhi,2019-03-26,League,SR Watson,Arun Jaitley Stadium,DC,CSK,DC,bat,CSK,wickets,6.0,148.0,20.0,N,,M Erasmus,Nitin Menon,2019
1175361,2019,Kolkata,2019-03-27,League,AD Russell,Eden Gardens,KKR,PBKS,PBKS,field,KKR,runs,28.0,219.0,20.0,N,,AK Chaudhary,VA Kulkarni,2019
1175362,2019,Bengaluru,2019-03-28,League,JJ Bumrah,M Chinnaswamy Stadium,MI,RCB,RCB,field,MI,runs,6.0,188.0,20.0,N,,CK Nandan,S Ravi,2019
1175363,2019,Hyderabad,2019-03-29,League,Rashid Khan,Rajiv Gandhi International Stadium,RR,SRH,RR,bat,SRH,wickets,5.0,199.0,20.0,N,,BNJ Oxenford,C Shamshuddin,2019
1175364,2019,Chandigarh,2019-03-30,League,MA Agarwal,Punjab Cricket Association Stadium,MI,PBKS,PBKS,field,PBKS,wickets,8.0,177.0,20.0,N,,CB Gaffaney,VA Kulkarni,2019
1175365,2019,Delhi,2019-03-30,League,PP Shaw,Arun Jaitley Stadium,KKR,DC,DC,field,DC,tie,,186.0,20.0,Y,,AY Dandekar,Nitin Menon,2019
1175366,2019,Hyderabad,2019-03-31,League,JM Bairstow,Rajiv Gandhi International Stadium,SRH,RCB,RCB,field,SRH,runs,118.0,232.0,20.0,N,,KN Ananthapadmanabhan,S Ravi,2019
1175367,2019,Chennai,2019-03-31,League,MS Dhoni,MA Chidambaram Stadium,CSK,RR,RR,field,CSK,runs,8.0,176.0,20.0,N,,CK Nandan,YC Barde,2019
1175368,2019,Chandigarh,2019-04-01,League,SM Curran,Punjab Cricket Association Stadium,PBKS,DC,DC,field,PBKS,runs,14.0,167.0,20.0,N,,AK Chaudhary,CB Gaffaney,2019
1175369,2019,Jaipur,2019-04-02,League,S Gopal,Sawai Mansingh Stadium,RCB,RR,RR,field,RR,wickets,7.0,159.0,20.0,N,,AY Dandekar,M Erasmus,2019
1175370,2019,Mumbai,2019-04-03,League,HH Pandya,Wankhede Stadium,MI,CSK,CSK,field,MI,runs,37.0,171.0,20.0,N,,BNJ Oxenford,RJ Tucker,2019
1175371,2019,Delhi,2019-04-04,League,JM Bairstow,Arun Jaitley Stadium,DC,SRH,SRH,field,SRH,wickets,5.0,130.0,20.0,N,,C Shamshuddin,KN Ananthapadmanabhan,2019
1175372,2019,Bengaluru,2019-04-05,League,AD Russell,M Chinnaswamy Stadium,RCB,KKR,KKR,field,KKR,wickets,5.0,206.0,20.0,N,,AK Chaudhary,CB Gaffaney,2019
1178393,2019,Chennai,2019-04-06,League,Harbhajan Singh,MA Chidambaram Stadium,CSK,PBKS,CSK,bat,CSK,runs,22.0,161.0,20.0,N,,KN Ananthapadmanabhan,RJ Tucker,2019
1178394,2019,Hyderabad,2019-04-06,League,AS Joseph,Rajiv Gandhi International Stadium,MI,SRH,SRH,field,MI,runs,40.0,137.0,20.0,N,,AY Dandekar,Nitin Menon,2019
1178395,2019,Bengaluru,2019-04-07,League,K Rabada,M Chinnaswamy Stadium,RCB,DC,DC,field,DC,wickets,4.0,150.0,20.0,N,,S Ravi,YC Barde,2019
1178396,2019,Jaipur,2019-04-07,League,HF Gurney,Sawai Mansingh Stadium,RR,KKR,KKR,field,KKR,wickets,8.0,140.0,20.0,N,,AK Chaudhary,CB Gaffaney,2019
1178397,2019,Chandigarh,2019-04-08,League,KL Rahul,Punjab Cricket Association Stadium,SRH,PBKS,PBKS,field,PBKS,wickets,6.0,151.0,20.0,N,,AY Dandekar,M Erasmus,2019
1178398,2019,Chennai,2019-04-09,League,DL Chahar,MA Chidambaram Stadium,KKR,CSK,CSK,field,CSK,wickets,7.0,109.0,20.0,N,,C Shamshuddin,RJ Tucker,2019
1178399,2019,Mumbai,2019-04-10,League,KA Pollard,Wankhede Stadium,PBKS,MI,MI,field,MI,wickets,3.0,198.0,20.0,N,,S Ravi,YC Barde,2019
1178400,2019,Jaipur,2019-04-11,League,MS Dhoni,Sawai Mansingh Stadium,RR,CSK,CSK,field,CSK,wickets,4.0,152.0,20.0,N,,BNJ Oxenford,UV Gandhe,2019
1178401,2019,Kolkata,2019-04-12,League,S Dhawan,Eden Gardens,KKR,DC,DC,field,DC,wickets,7.0,179.0,20.0,N,,CK Nandan,YC Barde,2019
1178402,2019,Mumbai,2019-04-13,League,JC Buttler,Wankhede Stadium,MI,RR,RR,field,RR,wickets,4.0,188.0,20.0,N,,A Nand Kishore,Nitin Menon,2019
1178403,2019,Chandigarh,2019-04-13,League,AB de Villiers,Punjab Cricket Association Stadium,PBKS,RCB,RCB,field,RCB,wickets,8.0,174.0,20.0,N,,S Ravi,UV Gandhe,2019
1178404,2019,Kolkata,2019-04-14,League,Imran Tahir,Eden Gardens,KKR,CSK,CSK,field,CSK,wickets,5.0,162.0,20.0,N,,CK Nandan,RJ Tucker,2019
1178405,2019,Hyderabad,2019-04-14,League,KMA Paul,Rajiv Gandhi International Stadium,DC,SRH,SRH,field,DC,runs,39.0,156.0,20.0,N,,AK Chaudhary,BNJ Oxenford,2019
1178406,2019,Mumbai,2019-04-15,League,SL Malinga,Wankhede Stadium,RCB,MI,MI,field,MI,wickets,5.0,172.0,20.0,N,,M Erasmus,Nitin Menon,2019
1178407,2019,Chandigarh,2019-04-16,League,R Ashwin,Punjab Cricket Association Stadium,PBKS,RR,RR,field,PBKS,runs,12.0,183.0,20.0,N,,AK Chaudhary,VA Kulkarni,2019
1178408,2019,Hyderabad,2019-04-17,League,DA Warner,Rajiv Gandhi International Stadium,CSK,SRH,CSK,bat,SRH,wickets,6.0,133.0,20.0,N,,IJ Gould,UV Gandhe,2019
1178409,2019,Delhi,2019-04-18,League,HH Pandya,Arun Jaitley Stadium,MI,DC,MI,bat,MI,runs,40.0,169.0,20.0,N,,BNJ Oxenford,NJ Llong,2019
1178410,2019,Kolkata,2019-04-19,League,V Kohli,Eden Gardens,RCB,KKR,KKR,field,RCB,runs,10.0,214.0,20.0,N,,IJ Gould,Nitin Menon,2019
1178411,2019,Jaipur,2019-04-20,League,SPD Smith,Sawai Mansingh Stadium,MI,RR,RR,field,RR,wickets,5.0,162.0,20.0,N,,S Ravi,YC Barde,2019
1178412,2019,Delhi,2019-04-20,League,SS Iyer,Arun Jaitley Stadium,PBKS,DC,DC,field,DC,wickets,5.0,164.0,20.0,N,,C Shamshuddin,UV Gandhe,2019
1178413,2019,Hyderabad,2019-04-21,League,KK Ahmed,Rajiv Gandhi International Stadium,KKR,SRH,SRH,field,SRH,wickets,9.0,160.0,20.0,N,,NJ Llong,Nitin Menon,2019
1178414,2019,Bengaluru,2019-04-21,League,PA Patel,M Chinnaswamy Stadium,RCB,CSK,CSK,field,RCB,runs,1.0,162.0,20.0,N,,RJ Tucker,VA Kulkarni,2019
1178415,2019,Jaipur,2019-04-22,League,RR Pant,Sawai Mansingh Stadium,RR,DC,DC,field,DC,wickets,6.0,192.0,20.0,N,,A Nand Kishore,S Ravi,2019
1178416,2019,Chennai,2019-04-23,League,SR Watson,MA Chidambaram Stadium,SRH,CSK,CSK,field,CSK,wickets,6.0,176.0,20.0,N,,AK Chaudhary,NJ Llong,2019
1178417,2019,Bengaluru,2019-04-24,League,AB de Villiers,M Chinnaswamy Stadium,RCB,PBKS,PBKS,field,RCB,runs,17.0,203.0,20.0,N,,BNJ Oxenford,C Shamshuddin,2019
1178418,2019,Kolkata,2019-04-25,League,VR Aaron,Eden Gardens,KKR,RR,RR,field,RR,wickets,3.0,176.0,20.0,N,,AY Dandekar,IJ Gould,2019
1178419,2019,Chennai,2019-04-26,League,RG Sharma,MA Chidambaram Stadium,MI,CSK,CSK,field,MI,runs,46.0,156.0,20.0,N,,AK Chaudhary,NJ Llong,2019
1178420,2019,Jaipur,2019-04-27,League,JD Unadkat,Sawai Mansingh Stadium,SRH,RR,RR,field,RR,wickets,7.0,161.0,20.0,N,,A Nand Kishore,YC Barde,2019
1178421,2019,Delhi,2019-04-28,League,S Dhawan,Arun Jaitley Stadium,DC,RCB,DC,bat,DC,runs,16.0,188.0,20.0,N,,BNJ Oxenford,KN Ananthapadmanabhan,2019
1178422,2019,Kolkata,2019-04-28,League,AD Russell,Eden Gardens,KKR,MI,MI,field,KKR,runs,34.0,233.0,20.0,N,,IJ Gould,Nitin Menon,2019
1178423,2019,Hyderabad,2019-04-29,League,DA Warner,Rajiv Gandhi International Stadium,SRH,PBKS,PBKS,field,SRH,runs,45.0,213.0,20.0,N,,CK Nandan,S Ravi,2019
1178424,2019,Bengaluru,2019-04-30,League,,M Chinnaswamy Stadium,RCB,RR,RR,field,,no result,,63.0,5.0,N,,NJ Llong,UV Gandhe,2019
1178425,2019,Chennai,2019-05-01,League,MS Dhoni,MA Chidambaram Stadium,CSK,DC,DC,field,CSK,runs,80.0,180.0,20.0,N,,AY Dandekar,Nitin Menon,2019
1178426,2019,Mumbai,2019-05-02,League,JJ Bumrah,Wankhede Stadium,MI,SRH,MI,bat,MI,tie,,163.0,20.0,Y,,CK Nandan,S Ravi,2019
1178427,2019,Chandigarh,2019-05-03,League,Shubman Gill,Punjab Cricket Association Stadium,PBKS,KKR,KKR,field,KKR,wickets,7.0,184.0,20.0,N,,BNJ Oxenford,C Shamshuddin,2019
1178428,2019,Delhi,2019-05-04,League,A Mishra,Arun Jaitley Stadium,RR,DC,RR,bat,DC,wickets,5.0,116.0,20.0,N,,AY Dandekar,IJ Gould,2019
1178429,2019,Bengaluru,2019-05-04,League,SO Hetmyer,M Chinnaswamy Stadium,SRH,RCB,RCB,field,RCB,wickets,4.0,176.0,20.0,N,,AK Chaudhary,NJ Llong,2019
1178430,2019,Chandigarh,2019-05-05,League,KL Rahul,Punjab Cricket Association Stadium,CSK,PBKS,PBKS,field,PBKS,wickets,6.0,171.0,20.0,N,,C Shamshuddin,KN Ananthapadmanabhan,2019
1178431,2019,Mumbai,2019-05-05,League,HH Pandya,Wankhede Stadium,KKR,MI,MI,field,MI,wickets,9.0,134.0,20.0,N,,A Nand Kishore,CK Nandan,2019
1181764,2019,Chennai,2019-05-07,Qualifier 1,SA Yadav,MA Chidambaram Stadium,CSK,MI,CSK,bat,MI,wickets,6.0,132.0,20.0,N,,NJ Llong,Nitin Menon,2019
1181766,2019,Visakhapatnam,2019-05-08,Eliminator,RR Pant,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,SRH,DC,DC,field,DC,wickets,2.0,163.0,20.0,N,,BNJ Oxenford,S Ravi,2019
1181767,2019,Visakhapatnam,2019-05-10,Qualifier 2,F du Plessis,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,DC,CSK,CSK,field,CSK,wickets,6.0,148.0,20.0,N,,BNJ Oxenford,S Ravi,2019
1181768,2019,Hyderabad,2019-05-12,Final,JJ Bumrah,Rajiv Gandhi International Stadium,MI,CSK,MI,bat,MI,runs,1.0,150.0,20.0,N,,IJ Gould,Nitin Menon,2019
1216492,2020/21,Abu Dhabi,2020-09-19,League,AT Rayudu,Sheikh Zayed Stadium,MI,CSK,CSK,field,CSK,wickets,5.0,163.0,20.0,N,,CB Gaffaney,VK Sharma,2020
1216493,2020/21,,2020-09-20,League,MP Stoinis,Dubai International Cricket Stadium,DC,PBKS,PBKS,field,DC,tie,,158.0,20.0,Y,,AK Chaudhary,Nitin Menon,2020
1216534,2020/21,,2020-09-21,League,YS Chahal,Dubai International Cricket Stadium,RCB,SRH,SRH,field,RCB,runs,10.0,164.0,20.0,N,,AY Dandekar,Nitin Menon,2020
1216496,2020/21,,2020-09-22,League,SV Samson,Sharjah Cricket Stadium,RR,CSK,CSK,field,RR,runs,16.0,217.0,20.0,N,,C Shamshuddin,VA Kulkarni,2020
1216508,2020/21,Abu Dhabi,2020-09-23,League,RG Sharma,Sheikh Zayed Stadium,MI,KKR,KKR,field,MI,runs,49.0,196.0,20.0,N,,CB Gaffaney,S Ravi,2020
1216510,2020/21,,2020-09-24,League,KL Rahul,Dubai International Cricket Stadium,PBKS,RCB,RCB,field,PBKS,runs,97.0,207.0,20.0,N,,AK Chaudhary,PR Reiffel,2020
